DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION,
sqlite,Operator,TYPE_CAST,"Type cast in DuckDB is '::', which is unsupported in SQLite",Syn,
sqlite,UFunction,NESTF,NESTED FUNCTION,DS,
sqlite,Function,EXPLAIN,query plan difference,Sem,
sqlite,Type,NESTDATA,Nested data type unsupported ({'x': 1}),DS,
sqlite,Command,REPLACE,No CREATE OR REPLACE,DS,
sqlite,Command,SET,No Set in SQLite,DS,
sqlite,Clause,REFERENCE,SQLite could create table reference Invalid,Syn,
sqlite,Command,ALTERALTER,"SQLite does not support alter column/name directly using ALTER TABLE, IF EXIST",Syn,
sqlite,Clause,ALIAS,ALIAS syntax,Syn,
sqlite,Command,PIVOT,Not supported SQL UNPIVOT PIVOT,DS,
sqlite,Command,CREATE,"CREATE things not supported (SCHEMA, MACRO, TYPE)",DS,
sqlite,Operator,ANY,ANY operator not supported,DS,
sqlite,Function,CASTUNKN,SQLite would cast to text if meet unknow type in CAST(),Sem,
sqlite,UFunction,STRING,"Text Function ",DS,
sqlite,Clause,ASOF_JOIN,ASOF_JOIN not supported,DS,
sqlite,Type,DATETIME,Datetime type not supported,DS,
sqlite,Setting,SYSV,Unknown system variable,DS,
sqlite,UFunction,AGGREGATE,AGGREGATE function in DuckDB not supported,DS,
sqlite,Clause,PARENTHESES,SQLite don't support sub clause in parenthese,DS,
sqlite,Command,EXECUTE,EXECUTE not support,DS,
sqlite,UFunction,TRYCAST,TRY_CAST not supported,DS,
sqlite,UFunction,TIMEF,Timestamp Functions not supported,DS,
sqlite,Operator,DIVIDE,SQLite doesn't support //,Syn,
sqlite,Command,TRANS,SQLite doesn't support START TRANSACTION,DS,
sqlite,Command,DROP,Issue related to DROP,Syn,
sqlite,Command,DISTINCT,DISTINCT ON,DS,
postgresql,UFunction,NESTF,NESTED FUNCTION,DS,
postgresql,UFunction,STRING,"Text Function ",DS,
postgresql,UFunction,AGGREGATE,AGGREGATE function in DuckDB not supported,DS,
postgresql,UFunction,TIMEF,Timestamp Functions not supported,DS,
postgresql,Clause,UBYNAME,UNION ALL BY NAME,Syn,
postgresql,Function,QUOTE,Quote in Postgresql <> DuckDB,Syn,
postgresql,Setting,SYSV,Unknown system variable,DS,
postgresql,Function,EXPLAIN,query plan difference,Sem,
postgresql,Command,PRAGMA,PRAGMA not supported,DS,
postgresql,Type,NESTDATA,Nested data type unsupported ({'x': 1}),DS,
postgresql,Type,NUM,Numeric related type not exists,DS,
postgresql,Command,CREATE,CREATE things not supported MACRO,DS,
postgresql,UFunction,MISF,Function not listed in documentation,DS,
postgresql,Function,EXPLAIN,query plan difference,Sem,
postgresql,Command,CTEC,CTE Constraint,Syn,
postgresql,IType,BYTEA,BYTEA inconsistent,Sem,
postgresql,IType,INTERVAL,INTERVAL time varchar not same,Sem,
postgresql,UFunction,WINDOWF,Window function not supported,DS,
postgresql,Clause,REFERENCE,DuckDB Limitation constraints,Syn,
postgresql,Type,STR,String type not exists,DS,
postgresql,Command,FROM,FROM as single statement,Syn,
postgresql,Clause,SELECT,SELECT column,Syn,
postgresql,Clause,GENCOL,GENERATED columnds not supported,DS,
postgresql,Clause,REINDEX,Postgresql updata column would drop and rebuild index,Sem,
