TESTFILE_NAME,TESTCASE_INDEX,CLUSTER
issues-general-test_2496.csv,1,104.0
issues-general-test_2496.csv,3,104.0
issues-general-test_1613.csv,3,104.0
issues-general-test_1613.csv,4,104.0
issues-general-test_4612.csv,3,102.0
issues-general-test_4612.csv,4,103.0
issues-general-test_4612.csv,5,103.0
issues-general-test_5072.csv,7,103.0
issues-general-test_1987.csv,3,100.0
issues-general-test_1987.csv,4,100.0
issues-general-test_1987.csv,5,100.0
issues-general-test_1987.csv,6,100.0
issues-general-test_1987.csv,7,100.0
issues-general-test_1987.csv,8,100.0
issues-general-test_1987.csv,9,100.0
issues-general-test_1987.csv,10,100.0
issues-rigger-test_583.csv,5,100.0
issues-rigger-collate_union.csv,3,100.0
issues-rigger-delete_empty_result.csv,4,3.0
issues-monetdb-analytics10.csv,29,103.0
issues-monetdb-analytics10.csv,30,103.0
issues-monetdb-test_round_bug.csv,4,104.0
issues-monetdb-test_round_bug.csv,6,104.0
fuzzer-duckfuzz-map_concat_type_mismatch.csv,3,103.0
fuzzer-pedro-overflow_parsing_interval.csv,1,103.0
fuzzer-pedro-overflow_parsing_interval.csv,2,103.0
fuzzer-pedro-overflow_parsing_interval.csv,4,102.0
fuzzer-pedro-floating_point_inequality.csv,2,104.0
fuzzer-pedro-parser_roundtrip.csv,1,101.0
fuzzer-afl-decimal_string_roundtrip.csv,2,104.0
fuzzer-afl-decimal_string_roundtrip.csv,3,104.0
fuzzer-afl-decimal_string_roundtrip.csv,4,104.0
fuzzer-sqlsmith-validity_mask_out_of_bounds.csv,4,100.0
sqlserver-test_sqlserver.csv_slow,5,2.0
sqlserver-test_sqlserver.csv_slow,7,2.0
sqlserver-test_sqlserver.csv_slow,9,2.0
sqlserver-test_sqlserver.csv_slow,11,2.0
sqlserver-test_sqlserver.csv_slow,14,2.0
sqlserver-test_sqlserver.csv_slow,16,2.0
sqlserver-test_sqlserver.csv_slow,18,2.0
sqlserver-test_sqlserver.csv_slow,20,2.0
sqlserver-test_sqlserver.csv_slow,22,2.0
sqlserver-test_sqlserver.csv_slow,25,2.0
sqlserver-test_sqlserver.csv_slow,27,2.0
sqlserver-test_sqlserver.csv_slow,29,2.0
sqlserver-test_sqlserver.csv_slow,31,2.0
sqlserver-test_sqlserver.csv_slow,33,2.0
sqlserver-test_sqlserver.csv_slow,35,2.0
sqlserver-test_sqlserver.csv_slow,37,2.0
sqlserver-test_sqlserver.csv_slow,39,2.0
sqlserver-test_sqlserver.csv_slow,42,2.0
sqlserver-test_sqlserver.csv_slow,44,2.0
sqlserver-test_sqlserver.csv_slow,47,101.0
sqlserver-test_sqlserver.csv_slow,48,101.0
sqlserver-test_sqlserver.csv_slow,49,101.0
sqlserver-test_sqlserver.csv_slow,50,101.0
sqlserver-test_sqlserver.csv_slow,51,101.0
sqlserver-test_sqlserver.csv_slow,52,101.0
sqlserver-test_sqlserver.csv_slow,53,101.0
sqlserver-test_sqlserver.csv_slow,54,102.0
sqlserver-test_sqlserver.csv_slow,55,101.0
sqlserver-test_sqlserver.csv_slow,56,101.0
sqlserver-test_sqlserver.csv_slow,57,101.0
sqlserver-test_sqlserver.csv_slow,58,101.0
sqlserver-test_sqlserver.csv_slow,59,101.0
sqlserver-test_sqlserver.csv_slow,60,101.0
sqlserver-test_sqlserver.csv_slow,61,101.0
sqlserver-test_sqlserver.csv_slow,62,101.0
sqlserver-test_sqlserver.csv_slow,63,101.0
sqlserver-test_sqlserver.csv_slow,64,101.0
sqlserver-test_sqlserver.csv_slow,65,101.0
sqlserver-test_sqlserver.csv_slow,66,103.0
sqlserver-test_sqlserver.csv_slow,67,101.0
sqlserver-test_sqlserver.csv_slow,68,101.0
sqlserver-test_sqlserver.csv_slow,70,101.0
sqlserver-test_sqlserver.csv_slow,75,101.0
sqlserver-test_sqlserver.csv_slow,78,101.0
sqlserver-test_sqlserver.csv_slow,79,101.0
sqlserver-test_sqlserver.csv_slow,80,101.0
sqlserver-test_sqlserver.csv_slow,81,101.0
sqlserver-test_sqlserver.csv_slow,82,101.0
sqlserver-test_sqlserver.csv_slow,83,101.0
sqlserver-test_sqlserver.csv_slow,84,101.0
sqlserver-test_sqlserver.csv_slow,85,101.0
sqlserver-test_sqlserver.csv_slow,86,101.0
sqlserver-test_sqlserver.csv_slow,87,101.0
sql-window-test_partition_flushing.csv_slow,1,2.0
sql-window-test_partition_flushing.csv_slow,3,101.0
sql-window-test_parallel_window.csv_slow,5,3.0
sql-window-test_parallel_window.csv_slow,6,3.0
sql-window-test_parallel_window.csv_slow,7,3.0
sql-window-test_parallel_window.csv_slow,8,3.0
sql-window-test_parallel_window.csv_slow,9,3.0
sql-window-test_parallel_window.csv_slow,10,3.0
sql-window-test_mad_window.csv,3,102.0
sql-window-test_mad_window.csv,4,102.0
sql-window-test_mad_window.csv,5,102.0
sql-window-test_evil_window.csv,7,100.0
sql-window-test_window_walmart.csv_slow,1,2.0
sql-window-test_basic_window.csv,11,100.0
sql-window-test_boundary_expr.csv,9,102.0
sql-table_function-test_repeat_function.csv,4,104.0
sql-table_function-test_repeat_function.csv,7,102.0
sql-table_function-duckdb_extensions.csv,1,104.0
sql-table_function-duckdb_functions.csv,7,101.0
sql-cast-string_to_list_cast.csv,2,104.0
sql-cast-string_to_list_cast.csv,3,104.0
sql-cast-string_to_list_cast.csv,4,104.0
sql-cast-string_to_list_cast.csv,5,104.0
sql-cast-string_to_list_cast.csv,8,104.0
sql-cast-string_to_list_cast.csv,9,104.0
sql-cast-string_to_list_cast.csv,12,102.0
sql-cast-string_to_list_cast.csv,15,102.0
sql-cast-string_to_list_cast.csv,18,102.0
sql-cast-string_to_list_cast.csv,31,104.0
sql-cast-string_to_list_cast.csv,32,104.0
sql-cast-string_to_list_cast.csv,33,104.0
sql-cast-string_to_list_cast.csv,34,104.0
sql-cast-string_to_list_cast.csv,35,104.0
sql-cast-string_to_list_cast.csv,36,104.0
sql-cast-string_to_list_cast.csv,37,104.0
sql-cast-string_to_list_cast.csv,40,104.0
sql-cast-string_to_list_cast.csv,41,104.0
sql-cast-string_to_list_cast.csv,42,104.0
sql-cast-string_to_list_cast.csv,76,104.0
sql-cast-string_to_list_cast.csv,77,104.0
sql-cast-string_to_list_cast.csv,78,104.0
