SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,SUPER_TAG,TAG,DESCRIPTION
SELECT enum_range(null::rainbow),2,Result MisMatch,"['red', 'orange', 'yellow', 'green', 'blue', 'purple']","[red, orange, yellow, green, blue, purple]",Client,Data Type,Different representation for nested data structure
"SELECT i, pk, fk
FROM r2l3r4l5i4i2l3v_dim
LEFT OUTER JOIN r2l3r4l5i4i2l3v
ON r2l3r4l5i4i2l3v_dim.pk = r2l3r4l5i4i2l3v.fk
ORDER BY i",2,Result MisMatch,"1	{'x': [{'l4': [51], 'i4': 41}], 'y': ['a']}	{'x': [{'l4': [51], 'i4': 41}], 'y': ['a']}
2	{'x': [None], 'y': [None]}	{'x': [None], 'y': [None]}
3	{'x': [], 'y': []}	{'x': [], 'y': []}
4	{'x': [{'l4': [52, 53], 'i4': 42}, {'l4': [54, 55], 'i4': 43}], 'y': ['Branta Canadensis', 'c']}	{'x': [{'l4': [52, 53], 'i4': 42}, {'l4': [54, 55], 'i4': 43}], 'y': ['Branta Canadensis', 'c']}
NULL	NULL	NULL","NULL	NULL	NULL
1	{'x': [{'l4': [51], 'i4': 41}], 'y': [a]}	{'x': [{'l4': [51], 'i4': 41}], 'y': [a]}
2	{'x': [NULL], 'y': [NULL]}	{'x': [NULL], 'y': [NULL]}
3	{'x': [], 'y': []}	{'x': [], 'y': []}
4	{'x': [{'l4': [52, 53], 'i4': 42}, {'l4': [54, 55], 'i4': 43}], 'y': [Branta Canadensis, c]}	{'x': [{'l4': [52, 53], 'i4': 42}, {'l4': [54, 55], 'i4': 43}], 'y': [Branta Canadensis, c]}",Client,Data Type,Different representation for nested data structure
SELECT * FROM tbl1 JOIN tbl2 ON tbl1.union_struct.str = tbl2.struct_union.alt.k,2,Result MisMatch,"key2	{'str': 'key2', 'alt': 'key2'}
key2	{'str': 'key4', 'alt': 'key2'}","key2	{'str': key4, 'alt': key2}
key2	{'str': key2, 'alt': key2}",Client,Data Type,Different representation for nested data structure
"SELECT CAST('{""can''t""=""you''re"", ""i''m""=""q''u''o''t''e""}' AS MAP(VARCHAR, VARCHAR));",2,Result MisMatch,"{'key': [""can't"", ""i'm""], 'value': [""you're"", ""q'u'o't'e""]}","{can't=you're, i'm=q'u'o't'e}",Client,Data Type,Different representation for nested data structure
SELECT d from ducks,2,Result MisMatch,"['a', 'b', 'c']
['🦆', 'a', 'b']","[🦆, a, b]
[a, b, c]",Client,Data Type,Different representation for nested data structure
SELECT MAP { [i]: [i + 1] } FROM range(5) t(i);,2,Result MisMatch,"{'key': [[0]], 'value': [[1]]}
{'key': [[1]], 'value': [[2]]}
{'key': [[2]], 'value': [[3]]}
{'key': [[3]], 'value': [[4]]}
{'key': [[4]], 'value': [[5]]}","{[0]=[1]}
{[1]=[2]}
{[2]=[3]}
{[3]=[4]}
{[4]=[5]}",Client,Data Type,Different representation for nested data structure
"select regexp_extract_all('abcdef', 'a.c.*f')",2,Result MisMatch,['abcdef'],[abcdef],Client,Data Type,Different representation for nested data structure
"WITH sample AS
( 
  SELECT s FROM
  ( 
    VALUES 
    ('https://docs.fluentd.org/v0.12/articles/out_file'),
    ('https://docs.fluentd.org/v0.12/articles/out_forward'),
    ('https://www.fluentd.org/v0.12/articles/out_file'),
    ('out_file/article/docs.fluentd.org/')
  ) AS t(s)
)
SELECT
  s, REGEXP_EXTRACT_ALL(s,'docs.fluentd.org.*out_file') AS match_strs1,
     REGEXP_EXTRACT_ALL(s,'docs.fluentd.org|out_file') AS match_strs2
FROM sample",2,Result MisMatch,"https://docs.fluentd.org/v0.12/articles/out_file	['docs.fluentd.org/v0.12/articles/out_file']	['docs.fluentd.org', 'out_file']
https://docs.fluentd.org/v0.12/articles/out_forward	[]	['docs.fluentd.org']
https://www.fluentd.org/v0.12/articles/out_file	[]	['out_file']
out_file/article/docs.fluentd.org/	[]	['out_file', 'docs.fluentd.org']","https://docs.fluentd.org/v0.12/articles/out_file	[docs.fluentd.org/v0.12/articles/out_file]	[docs.fluentd.org, out_file]
https://docs.fluentd.org/v0.12/articles/out_forward	[]	[docs.fluentd.org]
https://www.fluentd.org/v0.12/articles/out_file	[]	[out_file]
out_file/article/docs.fluentd.org/	[]	[out_file, docs.fluentd.org]",Client,Data Type,Different representation for nested data structure
"SELECT pk, p FROM structs ORDER BY pk;",2,Result MisMatch,"1	{'x': 1, 'y': 'a'}
2	{'x': None, 'y': None}
3	{'x': 0, 'y': ''}
4	{'x': 2, 'y': 'c'}
5	{'x': 9, 'y': 'i'}
NULL	{'x': 13, 'y': 'Somateria mollissima'}","NULL	{'x': 13, 'y': Somateria mollissima}
1	{'x': 1, 'y': a}
2	{'x': NULL, 'y': NULL}
3	{'x': 0, 'y': }
4	{'x': 2, 'y': c}
5	{'x': 9, 'y': i}",Client,Data Type,Different representation for nested data structure
"select struct_insert({'a': 1, 'b': 'abc', 'c': true}, d := {'a': 'new stuff'})",2,Result MisMatch,"{'a': 1, 'b': 'abc', 'c': True, 'd': {'a': 'new stuff'}}","{'a': 1, 'b': abc, 'c': true, 'd': {'a': new stuff}}",Client,Data Type,Different representation for nested data structure
"SELECT CAST('{ [12,     13,14]=val, [       8, 9         ]      =val, [ 4    ]=val   }' AS MAP(INT[], VARCHAR));",2,Result MisMatch,"{'key': [[12, 13, 14], [8, 9], [4]], 'value': ['val', 'val', 'val']}","{[12, 13, 14]=val, [8, 9]=val, [4]=val}",Client,Data Type,Different representation for nested data structure
SELECT s[0:1] FROM lists,2,Result MisMatch,"NULL
['b']
['h']
['w']","[h]
[w]
[b]
NULL",Client,Data Type,Different representation for nested data structure
"SELECT i, pk, fk FROM strlistdim, strlists WHERE pk = fk ORDER BY i",2,Result MisMatch,"1	['a']	['a']
2	[None]	[None]
3	[]	[]
5	['i', 'j', 'k']	['i', 'j', 'k']","1	[a]	[a]
2	[NULL]	[NULL]
3	[]	[]
5	[i, j, k]	[i, j, k]",Client,Data Type,Different representation for nested data structure
"SELECT list_apply(range(8), x -> list_aggr(list_apply(range(8),
y -> list_element('▁▂▃▄▅▆▇█', 1+abs(y-x))), 'string_agg', ''));",2,Result MisMatch,"['▁▂▃▄▅▆▇█', '▂▁▂▃▄▅▆▇', '▃▂▁▂▃▄▅▆', '▄▃▂▁▂▃▄▅', '▅▄▃▂▁▂▃▄', '▆▅▄▃▂▁▂▃', '▇▆▅▄▃▂▁▂', '█▇▆▅▄▃▂▁']","[▁▂▃▄▅▆▇█, ▂▁▂▃▄▅▆▇, ▃▂▁▂▃▄▅▆, ▄▃▂▁▂▃▄▅, ▅▄▃▂▁▂▃▄, ▆▅▄▃▂▁▂▃, ▇▆▅▄▃▂▁▂, █▇▆▅▄▃▂▁]",Client,Data Type,Different representation for nested data structure
"INSERT INTO table2(a, b) VALUES ('duckdb', 97) RETURNING {'a': a, 'b': b};",2,Result MisMatch,"{'a': 'duckdb', 'b': 97}","{'a': duckdb, 'b': 97}",Client,Data Type,Different representation for nested data structure
