Unnamed: 0,DBMS_NAME,TESTFILE_INDEX,TESTFILE_PATH,ORIGINAL_SUITE,TESTCASE_INDEX,SQL,CASE_TYPE,EXPECTED_RESULT,ACTUAL_RESULT,EXEC_TIME,DATE,IS_ERROR,ERROR_MSG,LOGS_INDEX,ERROR_REASON
25,postgresql,1632,duckdb_tests/sql/setops/test_union_all_by_name.test,,26,SELECT x as a FROM t1 UNION ALL BY NAME SELECT x FROM t1;,Query,"3	NULL
1	NULL
NULL	3
NULL	1",False,85,23-09-11-10:24,True,"syntax error at or near ""BY""
LINE 1: SELECT x as a FROM t1 UNION ALL BY NAME SELECT x FROM t1;
                                        ^
",906,UBYNAME
37,postgresql,1181,duckdb_tests/sql/function/string/test_damerau_levenshtein.test,,37,"SELECT damerau_levenshtein(NULL, s) FROM strings",Query,"NULL
NULL
NULL
NULL
NULL",False,120,23-09-11-10:24,True,"function damerau_levenshtein(unknown, character varying) does not exist
LINE 1: SELECT damerau_levenshtein(NULL, s) FROM strings
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",688,STRING
0,postgresql,2114,duckdb_tests/sql/subquery/scalar/test_many_correlated_columns.test,,0,SET default_null_order='nulls_first',Statement,True,False,293,23-09-11-10:25,True,"unrecognized configuration parameter ""default_null_order""
",1351,SYSV
0,postgresql,2039,duckdb_tests/sql/upsert/upsert_explicit_index.test,,0,pragma enable_verification,Statement,True,False,293,23-09-11-10:25,True,"syntax error at or near ""pragma""
LINE 1: pragma enable_verification
        ^
",1287,PRAGMA
2,postgresql,810,duckdb_tests/sql/catalog/case_insensitive_using.test,,2,select * from A join B using(X);,Query,1	2	3,False,172,23-09-11-10:23,True,"column ""x"" specified in USING clause does not exist in left table
",381,QUOTE
3,postgresql,1050,duckdb_tests/sql/function/list/list_unique.test,,3,SELECT list_unique([]) WHERE 1 = 0,Query,,False,73,23-09-11-10:24,True,"syntax error at or near ""[""
LINE 1: SELECT list_unique([]) WHERE 1 = 0
                           ^
",568,NESTDATA
10,postgresql,1506,duckdb_tests/sql/settings/setting_collation.test,,10,SET SESSION default_collation='NOCASE',Statement,True,False,157,23-09-11-10:24,True,"unrecognized configuration parameter ""default_collation""
",841,SYSV
6,postgresql,2218,duckdb_tests/sql/join/cross_product/test_cross_product_parallelism.test_slow,,6,"SELECT MAX(i1.i), MIN(i2.i) FROM integers i1, integers i2",Query,4999	0,False,87,23-09-11-10:25,True,"relation ""integers"" does not exist
LINE 1: SELECT MAX(i1.i), MIN(i2.i) FROM integers i1, integers i2
                                         ^
",1423,NESTF
22,postgresql,1049,duckdb_tests/sql/function/list/list_contains.test,,22,"SELECT list_contains([1.0,2.0,3.0], 'a')",Query,0,False,99,23-09-11-10:24,True,"syntax error at or near ""[""
LINE 1: SELECT list_contains([1.0,2.0,3.0], 'a')
                             ^
",567,NESTDATA
27,postgresql,1719,duckdb_tests/sql/types/numeric/tinyint_try_cast.test,,27,"SELECT i::DECIMAL(18,0)::TINYINT FROM tinyints ORDER BY i",Query,"-128
0
127",False,103,23-09-11-10:24,True,"relation ""tinyints"" does not exist
LINE 1: SELECT i::DECIMAL(18,0)::TINYINT FROM tinyints ORDER BY i
                                              ^
",956,NUM
