SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION,Unnamed: 5
SELECT x as a FROM t1 UNION ALL BY NAME SELECT x FROM t1;,UBYNAME,"syntax error at or near ""BY""
LINE 1: SELECT x as a FROM t1 UNION ALL BY NAME SELECT x FROM t1;
                                        ^
",False,"3	NULL
1	NULL
NULL	3
NULL	1",postgresql,Misc,UBYNAME,UNION ALL BY NAME,,
"SELECT damerau_levenshtein(NULL, s) FROM strings",STRING,"function damerau_levenshtein(unknown, character varying) does not exist
LINE 1: SELECT damerau_levenshtein(NULL, s) FROM strings
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,"NULL
NULL
NULL
NULL
NULL",postgresql,UFunction,STRING,Text Function ,,
"SELECT strptime('Mon 30, June 2003, 12:03:10 AM', '%a %-d, %B %Y, %-I:%-M:%-S %p')",STRING,"function strptime(unknown, unknown) does not exist
LINE 1: SELECT strptime('Mon 30, June 2003, 12:03:10 AM', '%a %-d, %...
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,2003-06-30 00:03:10,postgresql,UFunction,STRING,Text Function ,,
"SELECT prefix('abcdefgh', 'a')",STRING,"function prefix(unknown, unknown) does not exist
LINE 1: SELECT prefix('abcdefgh', 'a')
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,1,postgresql,UFunction,STRING,Text Function ,,
"SELECT suffix('two ñ three ₡ four 🦆 end', 'two n three ₡ four 🦆 end')",STRING,"function suffix(unknown, unknown) does not exist
LINE 1: SELECT suffix('two ñ three ₡ four 🦆 end', 'two n three ₡ fou...
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,0,postgresql,UFunction,STRING,Text Function ,,
SELECT STATS(i*2) FROM integers LIMIT 1;,STRING,"function stats(integer) does not exist
LINE 1: SELECT STATS(i*2) FROM integers LIMIT 1;
               ^
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
",False,<REGEX>:.*2.*6.*,postgresql,UFunction,STRING,Text Function ,,
SET default_null_order='nulls_first',SYSV,"unrecognized configuration parameter ""default_null_order""
",False,True,postgresql,Setting,SYSV,Unknown system variable,,
SET SESSION default_collation='NOCASE',SYSV,"unrecognized configuration parameter ""default_collation""
",False,True,postgresql,Setting,SYSV,Unknown system variable,,
SET default_null_order='nulls_first',SYSV,"unrecognized configuration parameter ""default_null_order""
",False,True,postgresql,Setting,SYSV,Unknown system variable,,
pragma enable_verification,PRAGMA,"syntax error at or near ""pragma""
LINE 1: pragma enable_verification
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
PRAGMA threads=4,PRAGMA,"syntax error at or near ""PRAGMA""
LINE 1: PRAGMA threads=4
        ^
",False,True,postgresql,Command,PRAGMA,PRAGMA not supported,,
