Unnamed: 0,DBMS_NAME,TESTFILE_INDEX,TESTFILE_PATH,ORIGINAL_SUITE,TESTCASE_INDEX,SQL,CASE_TYPE,EXPECTED_RESULT,ACTUAL_RESULT,EXEC_TIME,DATE,IS_ERROR,ERROR_MSG,LOGS_INDEX,ERROR_REASON
599,psql,174,postgresql_tests/regress/sql/jsonb.sql,,599,SELECT count(*) FROM testjsonb WHERE j @@ '$.wait == null',Query,1,0,251185,23-09-16-11:03,True,Result MisMatch,610,3
101,psql,65,postgresql_tests/regress/sql/create_index.sql,,101,"SELECT * FROM point_tbl WHERE f1 <@ '(-10,-10),(10,10)':: box ORDER BY f1 <-> '0,1'",Query,"(1e-300,-1e-300)
(0,0)
(-3,4)
(-10,0)
(10,10)","ERROR:  relation ""point_tbl"" does not exist
LINE 1: SELECT * FROM point_tbl WHERE f1 <@ '(-10,-10),(10,10)':: bo...
                      ^",394626,23-09-16-11:02,True,Result MisMatch,78,17
430,psql,111,postgresql_tests/regress/sql/privileges.sql,,430,CREATE FUNCTION priv_testfunc1(int) RETURNS int AS 'select 2 * $1;' LANGUAGE sql,Statement,,False,445996,23-09-16-11:02,True,ERROR:  permission denied for schema public,357,23
383,psql,96,postgresql_tests/regress/sql/aggregates.sql,,383,"select unique1, count(*), sum(twothousand) from tenk1
group by unique1
having sum(fivethous) > 4975
order by sum(twothousand)",Query,"4976	1	976
4977	1	977
4978	1	978
4979	1	979
4980	1	980
4981	1	981
4982	1	982
4983	1	983
4984	1	984
4985	1	985
4986	1	986
4987	1	987
4988	1	988
4989	1	989
4990	1	990
4991	1	991
4992	1	992
4993	1	993
4994	1	994
4995	1	995
4996	1	996
4997	1	997
4998	1	998
4999	1	999
9976	1	1976
9977	1	1977
9978	1	1978
9979	1	1979
9980	1	1980
9981	1	1981
9982	1	1982
9983	1	1983
9984	1	1984
9985	1	1985
9986	1	1986
9987	1	1987
9988	1	1988
9989	1	1989
9990	1	1990
9991	1	1991
9992	1	1992
9993	1	1993
9994	1	1994
9995	1	1995
9996	1	1996
9997	1	1997
9998	1	1998
9999	1	1999","ERROR:  relation ""tenk1"" does not exist
LINE 1: select unique1, count(*), sum(twothousand) from tenk1
                                                        ^",481584,23-09-16-11:02,True,Result MisMatch,261,17
316,psql,135,postgresql_tests/regress/sql/merge.sql,,316,"CREATE TABLE pa_target (tid integer, balance float, val text)
	PARTITION BY LIST (tid)",Statement,,False,20253,23-09-16-11:03,True,"ERROR:  permission denied for schema public
LINE 1: CREATE TABLE pa_target (tid integer, balance float, val text...
                     ^",447,23
106,psql,159,postgresql_tests/regress/sql/cluster.sql,,106,UPDATE clustertest SET key = 80 WHERE key = 70,Statement,,False,457557,23-09-16-11:03,True,"ERROR:  current transaction is aborted, commands ignored until end of transaction block",500,23
26,psql,151,postgresql_tests/regress/sql/select_parallel.sql,,26,"select round(avg(aa)), sum(aa) from a_star a4",Query,14	355,"ERROR:  current transaction is aborted, commands ignored until end of transaction block",397299,23-09-16-11:03,True,Result MisMatch,482,17
404,psql,135,postgresql_tests/regress/sql/merge.sql,,404,"INSERT INTO cj_source1 VALUES (3, 10, 400)",Statement,,False,130827,23-09-16-11:03,True,"ERROR:  relation ""cj_source1"" does not exist
LINE 1: INSERT INTO cj_source1 VALUES (3, 10, 400);
                    ^",458,23
144,psql,115,postgresql_tests/regress/sql/matview.sql,,144,CREATE MATERIALIZED VIEW IF NOT EXISTS mvtest_mv_foo AS SELECT * FROM mvtest_foo_data,Query,"NOTICE:  relation ""mvtest_mv_foo"" already exists, skipping","ERROR:  relation ""mvtest_foo_data"" does not exist
LINE 1: ...VIEW IF NOT EXISTS mvtest_mv_foo AS SELECT * FROM mvtest_foo...
                                                             ^",919877,23-09-16-11:03,True,Result MisMatch,377,23
422,psql,95,postgresql_tests/regress/sql/join.sql,,422,"select * from
  (select *, 12 as phv from parttbl) as ss
  right join int4_tbl on true
where ss.a = ss.phv and f1 = 0",Query,12	12	0,"ERROR:  relation ""int4_tbl"" does not exist
LINE 3:   right join int4_tbl on true
                     ^",424600,23-09-16-11:02,True,Result MisMatch,248,17
