SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION,Unnamed: 5
DROP TABLE other_table,ALIAS,no such table: other_table,False,True,sqlite,Clause,ALIAS,ALIAS syntax,,
"CREATE TABLE integers AS SELECT * FROM (VALUES (10, 1), (20, 2), (30, NULL)) tbl(i, j)",ALIAS,"near ""("": syntax error",False,True,sqlite,Clause,ALIAS,ALIAS syntax,,
"select * from (select array[42, 43, 44]) t(a) join lateral (select unnest(t.a)) t2(b) on (a[1]<b) order by all;",ALIAS,"near ""("": syntax error",False,"[42, 43, 44]	43
[42, 43, 44]	44",sqlite,Clause,ALIAS,ALIAS syntax,,
SELECT i1.i FROM integers i1 JOIN integers2 i2 ON i1.i<=i2.i ORDER BY 1;,ALIAS,no such table: integers,False,"1
1
2
2",sqlite,Clause,ALIAS,ALIAS syntax,,
"INSERT INTO integers SELECT * FROM repeat(3, 1500) t1(i)",ALIAS,"near ""("": syntax error",False,True,sqlite,Clause,ALIAS,ALIAS syntax,,
SELECT (select list(l) from range(1999) tbl(l)) >= NULL,ALIAS,"near ""("": syntax error",False,,sqlite,Clause,ALIAS,ALIAS syntax,,
"EXPLAIN SELECT * FROM (VALUES(5,5)) tbl(col0, col1) WHERE col0=5 AND col1 <= col0",ALIAS,"near ""("": syntax error",False,logical_opt	<REGEX>:.*\(col1 <= 5\).*,sqlite,Clause,ALIAS,ALIAS syntax,,
CREATE TABLE integers2 AS SELECT * FROM integers,ALIAS,no such table: integers,False,True,sqlite,Clause,ALIAS,ALIAS syntax,,
"EXECUTE v4([1, 2, 3])",ALIAS,"near ""EXECUTE"": syntax error",False,3,sqlite,Clause,ALIAS,ALIAS syntax,,
"INSERT INTO t SELECT 4,4 FROM RANGE(65536)",NESTF,no such table: RANGE,False,True,sqlite,UFunction,NESTF,NESTED FUNCTION,,
