SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,DBMS,SUPER_TAG,TAG,DESCRIPTION,INFORMATION
"SELECT i, list_position(i,1) from TEST;",GENERAL,no such function: list_position,False,"[2, 1, 3]	2
[2, 3, 4]	0
[1]	1",sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT quantile_disc(r, 0.1), quantile_disc(r, 0.5), quantile_disc(r, 0.9) from quantile",GENERAL,no such table: quantile,False,999	4999	8999,sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT prefix('átomo', 'a')",GENERAL,no such function: prefix,False,0,sqlite,Func Syntax,GENERAL,no such function: ,
SELECT EXTRACT(century FROM i) FROM timestamps,GENERAL,"near ""FROM"": syntax error",False,"20
NULL",sqlite,Func Syntax,GENERAL,no such function: ,
SELECT STRING_AGG(DISTINCT val ORDER BY val DESC) from test_val;,GENERAL,"near ""ORDER"": syntax error",False,"3,2,1",sqlite,Func Syntax,GENERAL,no such function: ,
SELECT EXTRACT(week FROM cast('2007-01-01' AS DATE) + 35);,GENERAL,"near ""FROM"": syntax error",False,6,sqlite,Func Syntax,GENERAL,no such function: ,
INSERT INTO t0 VALUES (DATE '2000-01-01'),GENERAL,"near ""'2000-01-01'"": syntax error",False,True,sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT [{'x': 'duck', 'y': 1}] = NULL",GENERAL,"no such column: {'x': 'duck', 'y': 1}",False,,sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT i, i <> ANY(SELECT i FROM integers WHERE i>2) FROM integers ORDER BY i",GENERAL,"near ""SELECT"": syntax error",False,"NULL	NULL
1	1
2	1
3	0",sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT CAST('10000000000' AS DECIMAL(10,0))",GENERAL,None,True,False,sqlite,Func Syntax,GENERAL,no such function: ,
select COUNT(*) from (SELECT * FROM a UNION ALL SELECT * FROM b) t1 join (select 43) t2(l) on t1.l=t2.l,GENERAL,"near ""("": syntax error",False,1,sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT a[-5:] FROM (VALUES (LIST_VALUE(42, 43, 44))) tbl(a)",GENERAL,"near ""("": syntax error",False,,sqlite,Func Syntax,GENERAL,no such function: ,
"SELECT strptime('6', '%w')",GENERAL,no such function: strptime,False,1900-01-01 00:00:00,sqlite,Func Syntax,GENERAL,no such function: ,
INSERT INTO integers VALUES (NULL),GENERAL,no such table: integers,False,True,sqlite,Func Syntax,GENERAL,no such function: ,
